n.,data,estado,país,atualizado_em,confirmados,mortes,recuperados
28874,2020-05-23,Tocantins,Brazil,2021-04-02 15:13:53,2430.0,51.0,0.0
29083,2020-05-24,Acre,Brazil,2021-04-02 15:13:53,4160.0,92.0,0.0
29086,2020-05-24,Alagoas,Brazil,2021-04-02 15:13:53,6214.0,316.0,0.0
29089,2020-05-24,Amapa,Brazil,2021-04-02 15:13:53,6353.0,163.0,0.0
29090,2020-05-24,Amazonas,Brazil,2021-04-02 15:13:53,29867.0,1758.0,0.0
29106,2020-05-24,Bahia,Brazil,2021-04-02 15:13:53,13899.0,460.0,0.0
29132,2020-05-24,Ceara,Brazil,2021-04-02 15:13:53,35595.0,2324.0,0.0
29149,2020-05-24,Distrito Federal,Brazil,2021-04-02 15:13:53,6638.0,104.0,0.0
29152,2020-05-24,Espirito Santo,Brazil,2021-04-02 15:13:53,10007.0,446.0,0.0
29165,2020-05-24,Goias,Brazil,2021-04-02 15:13:53,2443.0,95.0,0.0
29212,2020-05-24,Maranhao,Brazil,2021-04-02 15:13:53,21191.0,754.0,0.0
29217,2020-05-24,Mato Grosso,Brazil,2021-04-02 15:13:53,1462.0,40.0,0.0
29218,2020-05-24,Mato Grosso do Sul,Brazil,2021-04-02 15:13:53,924.0,17.0,0.0
29227,2020-05-24,Minas Gerais,Brazil,2021-04-02 15:13:53,6668.0,226.0,0.0
29269,2020-05-24,Para,Brazil,2021-04-02 15:13:53,24125.0,2148.0,0.0
29270,2020-05-24,Paraiba,Brazil,2021-04-02 15:13:53,7823.0,272.0,0.0
29271,2020-05-24,Parana,Brazil,2021-04-02 15:13:53,3212.0,153.0,0.0
29273,2020-05-24,Pernambuco,Brazil,2021-04-02 15:13:53,27759.0,2200.0,0.0
29274,2020-05-24,Piaui,Brazil,2021-04-02 15:13:53,3390.0,107.0,0.0
29289,2020-05-24,Rio Grande do Norte,Brazil,2021-04-02 15:13:53,4697.0,200.0,0.0
29290,2020-05-24,Rio Grande do Sul,Brazil,2021-04-02 15:13:53,6470.0,180.0,0.0
29291,2020-05-24,Rio de Janeiro,Brazil,2021-04-02 15:13:53,37912.0,3993.0,0.0
29292,2020-05-24,Rondonia,Brazil,2021-04-02 15:13:53,3201.0,121.0,0.0
29293,2020-05-24,Roraima,Brazil,2021-04-02 15:13:53,2439.0,84.0,0.0
29301,2020-05-24,Santa Catarina,Brazil,2021-04-02 15:13:53,6696.0,105.0,0.0
29302,2020-05-24,Sao Paulo,Brazil,2021-04-02 15:13:53,82161.0,6163.0,0.0
29306,2020-05-24,Sergipe,Brazil,2021-04-02 15:13:53,5314.0,93.0,0.0
29330,2020-05-24,Tocantins,Brazil,2021-04-02 15:13:53,2591.0,52.0,0.0
29539,2020-05-25,Acre,Brazil,2021-04-02 15:13:53,4501.0,97.0,0.0
29542,2020-05-25,Alagoas,Brazil,2021-04-02 15:13:53,6682.0,337.0,0.0
29545,2020-05-25,Amapa,Brazil,2021-04-02 15:13:53,6584.0,168.0,0.0
29546,2020-05-25,Amazonas,Brazil,2021-04-02 15:13:53,30282.0,1781.0,0.0
29562,2020-05-25,Bahia,Brazil,2021-04-02 15:13:53,14204.0,477.0,0.0
29588,2020-05-25,Ceara,Brazil,2021-04-02 15:13:53,36185.0,2493.0,0.0
29605,2020-05-25,Distrito Federal,Brazil,2021-04-02 15:13:53,6930.0,114.0,0.0
29608,2020-05-25,Espirito Santo,Brazil,2021-04-02 15:13:53,10365.0,465.0,0.0
29621,2020-05-25,Goias,Brazil,2021-04-02 15:13:53,2512.0,96.0,0.0
29668,2020-05-25,Maranhao,Brazil,2021-04-02 15:13:53,22786.0,784.0,0.0
29673,2020-05-25,Mato Grosso,Brazil,2021-04-02 15:13:53,1500.0,41.0,0.0
29674,2020-05-25,Mato Grosso do Sul,Brazil,2021-04-02 15:13:53,1023.0,17.0,0.0
29683,2020-05-25,Minas Gerais,Brazil,2021-04-02 15:13:53,6962.0,230.0,0.0
29725,2020-05-25,Para,Brazil,2021-04-02 15:13:53,26077.0,2372.0,0.0
29726,2020-05-25,Paraiba,Brazil,2021-04-02 15:13:53,8016.0,279.0,0.0
29727,2020-05-25,Parana,Brazil,2021-04-02 15:13:53,3331.0,156.0,0.0
29729,2020-05-25,Pernambuco,Brazil,2021-04-02 15:13:53,28366.0,2248.0,0.0
29730,2020-05-25,Piaui,Brazil,2021-04-02 15:13:53,3550.0,110.0,0.0
29745,2020-05-25,Rio Grande do Norte,Brazil,2021-04-02 15:13:53,4759.0,209.0,0.0
29746,2020-05-25,Rio Grande do Sul,Brazil,2021-04-02 15:13:53,6559.0,197.0,0.0
29747,2020-05-25,Rio de Janeiro,Brazil,2021-04-02 15:13:53,39298.0,4105.0,0.0
29748,2020-05-25,Rondonia,Brazil,2021-04-02 15:13:53,3268.0,121.0,0.0
29749,2020-05-25,Roraima,Brazil,2021-04-02 15:13:53,2514.0,86.0,0.0
29757,2020-05-25,Santa Catarina,Brazil,2021-04-02 15:13:53,6875.0,109.0,0.0
29758,2020-05-25,Sao Paulo,Brazil,2021-04-02 15:13:53,83625.0,6220.0,0.0
29762,2020-05-25,Sergipe,Brazil,2021-04-02 15:13:53,5448.0,103.0,0.0
29786,2020-05-25,Tocantins,Brazil,2021-04-02 15:13:53,2696.0,58.0,0.0
29995,2020-05-26,Acre,Brazil,2021-04-02 15:13:53,4781.0,105.0,0.0
29998,2020-05-26,Alagoas,Brazil,2021-04-02 15:13:53,7058.0,354.0,0.0
30001,2020-05-26,Amapa,Brazil,2021-04-02 15:13:53,6967.0,173.0,0.0
30002,2020-05-26,Amazonas,Brazil,2021-04-02 15:13:53,31949.0,1852.0,0.0
30018,2020-05-26,Bahia,Brazil,2021-04-02 15:13:53,14566.0,495.0,0.0
30044,2020-05-26,Ceara,Brazil,2021-04-02 15:13:53,37021.0,2603.0,0.0
30061,2020-05-26,Distrito Federal,Brazil,2021-04-02 15:13:53,7210.0,124.0,0.0
